ParameterName,MinValue,MaxValue, Startvalue
crop,0.8,1.8,1.0
pref,0.5,8,4.0
arnoB,0.01,1,0.5
ksatfact, 0.66,1.33,1.0
snowMelt,0.002,0.005,0.004
iceMelt,0.001,0.007,0.006
No,1,100,1
