ID,area,area_1min,area_3sec,lat,lat_1min,lat_3sec,lon,lon_1min,lon_3sec
1,35399,,49.022917,49.023585,,12.13875,12.13873,,35338.0
2,47496,,48.67625,48.676627,,13.11375,13.115212,,47488.0
95,10197,,46.682083,46.6811,,15.995417,15.9956,,10219.0
96,13664,,46.417083,46.4169,,15.867917,15.8675,,13594.0
98,908,,46.340417,46.34,,14.165417,14.1654,,899.0
99,2201,,46.122917,46.1225,,14.440417,14.4405,,2161.0
101,5177,,46.122083,46.122,,15.090417,15.0906,,5233.0
102,10882,,45.860417,45.8605,,15.692917,15.6925,,10629.0
103,1762,,46.055417,46.0554,,14.544583,14.5444,,1826.0
107,2238,,45.864583,45.8644,,15.45625,15.4555,,1789.0
155,1256,,48.087083,48.085815,,13.859583,13.838047,,2728.0
156,76653,,48.58375,48.582691,,13.502917,13.503336,,76414.0
158,95970,,48.38375,48.382792,,15.46125,15.46122,,95701.0
159,101537,,48.329583,48.329485,,16.330417,16.332121,,101273.0
160,79490,,48.307917,48.30692,,14.284583,14.284912,,79253.0
161,103993,,48.117083,48.114803,,16.804583,16.804302,,103665.0
163,4790,,46.77375,46.77402,,13.522917,13.52317,,4773.0
164,11052,,46.639583,46.64062,,14.94375,14.942619,,11974.0
166,2112,,46.747917,46.747615,,12.972917,12.97297,,2104.0
168,2638,,47.58125,47.581186,,14.462083,14.461733,,2625.0
169,5915,,48.042917,48.043318,,14.424583,14.424931,,5923.0
170,1490,,47.515417,47.514579,,14.087083,14.08546,,1700.0
173,1305,,46.615417,46.569332,,13.83875,13.814816,,5251.0
175,2555,,46.585417,46.606288,,14.499583,14.478061,,7998.0
176,1243,,46.760417,46.760439,,14.477083,14.476932,,1012.0
179,5772,,47.275417,47.275613,,11.397083,11.396506,,5780.0
180,7231,,47.38875,47.388857,,11.789583,11.789238,,7206.0
181,2162,,46.952083,46.951979,,10.512083,10.511638,,2147.0
182,9310,,47.522917,47.522774,,12.092917,12.093312,,9281.0
183,5119,,47.25875,47.258747,,10.874583,10.874705,,5086.0
184,3503,,47.147083,47.146797,,10.572083,10.571568,,3484.0
185,2462,,47.077083,47.076753,,10.66125,10.660908,,2449.0
187,1199,,46.82875,46.831632,,12.775417,12.766335,,1864.0
188,1493,,48.534583,48.534688,,15.690417,15.690083,,1488.0
189,1012,,47.497083,47.497015,,10.710417,10.709677,,998.0
190,1620,,47.937917,47.937903,,16.477083,16.477205,,1562.0
191,1982,,48.047083,48.04761,,16.942917,16.943102,,1942.0
192,1036,,46.782083,46.807338,,13.497917,13.494837,,4764.0
195,1044,,46.83125,46.875108,,13.347917,13.302641,,2555.0
197,6214,,47.410417,47.409966,,15.28125,15.28143,,6192.0
198,1700,,47.11125,47.110664,,14.209583,14.209475,,1695.0
200,7296,,46.902083,46.902063,,15.49375,15.492877,,7280.0
201,9770,,46.71125,46.711443,,15.792917,15.792175,,9747.0
202,2368,,47.212083,47.211775,,14.49875,14.499123,,2340.0
203,2958,,47.185417,47.185059,,14.752917,14.752621,,2952.0
207,1139,,47.852083,47.811555,,13.00375,12.974216,,5821.0
208,3556,,47.595417,47.595786,,13.16375,13.16345,,3540.0
211,2143,,47.309583,47.310132,,13.120417,13.12021,,2135.0
212,2953,,47.480417,47.479884,,13.19125,13.191103,,2950.0
213,1103,,46.747083,46.771039,,15.569583,15.534549,,9423.0
214,1406,,48.844583,48.844976,,15.499583,15.499183,,1398.0
