FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon
26	180	AT	7001062	Inn	Jenbach-Rotholz	AT	0	0	7231	521.67	1990	2021	47.388857	11.789238	7233	0	47.39167	11.79167
27	181	AT	7001015	Inn	Kajetansbrvºcke	AT	0	0	2162	967.16	1990	2021	46.951979	10.511638	2163	0	46.95833	10.50833
28	182	AT	7001081	Inn	Kirchbichl-Bichlwang	AT	0	0	9310	484	1990	2021	47.522774	12.093312	9305	0	47.525	12.09167
29	183	AT	7001043	Inn	Magerbach	AT	0	0	5119	652.98	1990	2021	47.258747	10.874705	5091	0	47.25833	10.875
30	184	AT	7001027	Inn	Perjen	AT	0	0	3503	768.73	2008	2021	47.146797	10.571568	3487	0	47.14167	10.575
31	185	AT	7001017	Inn	Prutz	AT	0	0	2462	861.36	1990	2021	47.076753	10.660908	2452	0	47.075	10.65833
32	187	AT	7001140	Isel	Lienz	AT	0	0	1199	669.29	1990	2021	46.831632	12.766335	1198	0	46.84167	12.75833
33	188	AT	3001039	Kamp	Stiefern	AT	0	0	1493	217	1990	2021	48.534688	15.690083	1493	0	48.54167	15.69167
34	189	AT	7001007	Lech	Lechaschau	AT	0	0	1012	836.09	1991	2021	47.497015	10.709677	1021	0	47.49167	10.70833
35	190	AT	3001121	Leitha	Deutsch Brodersdorf (Stravüenbrvºcke)	AT	0	0	1620	193.04	1990	2010	47.937903	16.477205	1620	0	47.94167	16.475
36	191	AT	3001122	Leitha	Deutsch Haslau	AT	0	0	1982	139.19	1990	2021	48.04761	16.943102	1998	0	48.04167	16.94167
37	192	AT	2001020	Lieser	Spittal (Fasan)	AT	0	0	1036	556.19	1990	2021	46.807338	13.494837	1044	0	46.80833	13.49167
38	195	AT	2001007	Moll	Kolbnitz a. d. Tauernbahn VHP	AT	0	0	1044	607	1990	2021	46.875108	13.302641	1053	0	46.875	13.30833
39	197	AT	6001079	Mur	Bruck un der Mur unter Mvºr	AT	0	0	6214	468.14	1990	2021	47.409966	15.28143	6215	0	47.40833	15.275
40	198	AT	6001059	Mur	Gestvºthof	AT	0	0	1700	776.3	1990	2021	47.110664	14.209475	1718	0	47.10833	14.20833
41	200	AT	6001132	Mur	Mellach	AT	0	0	7296	290.8	2010	2021	46.902063	15.492877	7322	0	46.90833	15.49167
42	201	AT	6001099	Mur	Mureck (Schreibpegel)	AT	0	0	9770	224.23	1990	2021	46.711443	15.792175	9777	0	46.70833	15.79167
43	202	AT	6001060	Mur	St.Georgen ob Judenburt	AT	0	0	2368	700.15	1990	2021	47.211775	14.499123	2357	0	47.20833	14.49167
44	203	AT	6001063	Mur	Zeltweg	AT	0	0	2958	646.34	1990	2021	47.185059	14.752621	2995	0	47.19167	14.75833
45	207	AT	5001052	Saalach	Siezenheim	AT	0	0	1139	415.77	1990	2021	47.811555	12.974216	1133	0	47.80833	12.975
46	208	AT	5001028	Saalach	Golling	AT	0	0	3556	463.19	1990	2021	47.595786	13.16345	3541	0	47.59167	13.15833
47	211	AT	5001085	Saalach	Wallnerau	AT	0	0	2143	597.9	2008	2021	47.310132	13.12021	2157	0	47.30833	13.125
48	212	AT	5001098	Saalach	Werfen	AT	0	0	2953	512.13	1995	2021	47.479884	13.191103	2963	0	47.475	13.19167
49	213	AT	6001095	Sulm	Leibnitz	AT	0	0	1103	262.98	1990	2021	46.771039	15.534549	1113	0	46.775	15.54167
50	214	AT	3001089	Thaya	Raabs an der Thaya	AT	0	0	1406	395.44	1990	2021	48.844976	15.499183	1423	0	48.84167	15.49167
51	216	AT	4001181	Traun	Wels-Lichtenegg	AT	0	0	3387	309	2009	2021	48.141089	13.995787	3480	0	48.14167	13.99167
52	221	AT	3001008	Ybbs	Greimpersdorf	AT	0	0	1117	261.73	1990	2021	48.110874	14.891028	1124	0	48.10833	14.89167
53	223	AT	7001071	Ziller	Hart im Zillertal	AT	0	0	1095	530.95	1990	2021	47.346304	11.862502	1094	0	47.34167	11.85833
54	228	RS	42010	Danube	Bezdan	RS	0	0	210250	80.64	1991	2021	45.854141	18.859776	209319	0	45.875	18.825
55	231	RS	42660	Nera	Kusic	RS	0	0	1337	91	2008	2021	44.870834	21.485225	1350	0	44.875	21.49167
56	232	RS	42929	Beli Timok	Zajecar	RS	0	0	2150	124.41	2008	2021	43.892142	22.293443	2129	0	43.89167	22.29167
57	233	RS	42901	Veliki Timok	Cokonjar	RS	0	0	3945	97.05	2006	2021	44.011722	22.355994	3962	0	44.00833	22.35833
58	234	RS	45084	Sava	Jamena	RS	0	0	64073	72.44	2006	2021	44.877743	19.084006	61445	0	44.875	19.09167
59	235	RS	45090	Sava	Sremaska Mitrovica	RS	0	0	87996	72.22	1991	2021	44.965672	19.60019	84873	0	44.975	19.59167
60	236	RS	45882	Drina	Radalj	RS	0	0	17490	129.47	1991	2021	44.41907	19.14799	17740	0	44.425	19.14167
61	237	RS	45910	Kolubara	Beli Brod	RS	0	0	1896	99.32	2008	2021	44.371198	20.199508	1830	0	44.375	20.19167
62	238	RS	47010	Velika Morava	Varvarin	RS	0	0	31548	126.13	2008	2021	43.724576	21.373063	31505	0	43.70833	21.39167
63	239	RS	47040	Velika Morava	Bagrdan	RS	0	0	33446	100.94	2008	2021	44.070498	21.195798	33658	0	44.05833	21.20833
64	240	RS	47101	Zapadna Morava	Kratovska stena	RS	0	0	3077	290.44	2008	2021	43.87126	20.118569	3090	0	43.875	20.125
65	241	RS	47120	Zapadna Morava	Milocaj	RS	0	0	4658	194.27	2008	2021	43.775839	20.627096	4609	0	43.775	20.625
66	242	RS	47195	Zapadna Morava	Jasika	RS	0	0	14721	138.56	1991	2021	43.608124	21.295077	14554	0	43.60833	21.29167
67	243	RS	47528	Juzna Morava	Vranjski Priboj	RS	0	0	2775	349.98	2008	2021	42.600342	22.012318	2806	0	42.60833	22.00833
68	244	RS	47540	Juzna Morava	Grdelica	RS	0	0	3782	251.63	1991	2021	42.890972	22.061887	3744	0	42.89167	22.05833
69	245	RS	47550	Juzna Morava	Korvingrad	RS	0	0	9396	188.09	2008	2021	43.219521	21.838303	9516	0	43.225	21.84167
70	246	RS	47590	Juzna Morava	Mojsinje	RS	0	0	15390	136.28	1991	2021	43.63055	21.485787	15657	0	43.625	21.49167
71	247	RS	47890	Toplica	Doljevac	RS	0	0	2052	190.41	2008	2021	43.20241	21.830671	2206	0	43.20833	21.825
72	248	RS	47920	Nisava	Pirot	RS	0	0	1745	364.27	2008	2021	43.159234	22.588755	1794	0	43.14167	22.60833
73	249	RS	47990	Nisava	Nis	RS	0	0	3870	187.88	1991	2021	43.326211	21.90196	4018	0	43.325	21.90833
74	257	RS	47295	Ibar	Lopatnica lakat	RS	0	0	7818	224.68	1991	2021	43.659922	20.563451	7716	0	43.65833	20.55833
75	258	RS	42921	Beli Timok	Knjazevac	RS	0	0	1242	211.63	2008	2021	43.576355	22.259299	1237	0	43.575	22.25833
76	261	RS	42020	Danube	Bogojevo	RS	0	0	251593	77.46	1991	2021	45.53004	19.078749	252207	0	45.525	19.075
77	263	RS	42480	Brzava	Markovicevo	RS	0	0	1111	76.9	2008	2021	45.326954	21.03038	1217	0	45.325	21.025
78	264	RS	47090	Velika Morava	Ljubicevski most	RS	0	0	37320	73.42	1991	2021	44.585387	21.131837	37277	0	44.59167	21.125
79	272	SK	5040	Morava	MoravskvO Sv. Jv°n	SK	0	0	24129	146.24	1991	2021	48.602278	16.935429	24137	0	48.60833	16.94167
80	273	SK	5127	Danube	Devv?n	SK	0	0	131244	132.87	2002	2021	48.173299	16.977317	131325	0	48.175	16.975
81	274	SK	5550	Vah	LiptovskvO Mikulv°˜°	SK	0	0	1107	567.68	1991	2021	49.086364	19.603513	1131	0	49.09167	19.60833
82	277	SK	6146	Vah	Streƒçno	SK	0	0	5453	353.4	1996	2021	49.172511	18.864047	5476	0	49.175	18.85833
83	278	SK	6480	Vah	˜†aƒæa	SK	0	0	11218	109.23	1991	2021	48.161217	17.881949	10808	0	48.15833	17.875
84	279	SK	6730	Nitra	Nitrianska Streda	SK	0	0	2094	158.25	1991	2021	48.523948	18.172555	2129	0	48.525	18.175
85	280	SK	6772	Nitra	Novv© Zv°mky	SK	0	0	4064	108.73	1991	2021	47.978552	18.174321	3157	0	47.975	18.175
86	281	SK	6849	Danube	Komv°rno	SK	0	0	151962	103.4	1995	2021	47.754313	18.127812	151484	0	47.75833	18.125
87	282	SK	7160	Hron	Banskv° Bystrica	SK	0	0	1766	334.29	1991	2021	48.731088	19.140372	1858	0	48.725	19.14167
88	283	SK	7290	Hron	Brehy	SK	0	0	3821	194.27	1991	2021	48.406726	18.64624	3901	0	48.40833	18.64167
89	284	SK	7540	Ipel	Slovenskv© ƒéarmoty	SK	0	0	2768	136.11	1991	2021	48.087161	19.297626	2763	0	48.09167	19.29167
90	285	SK	7820	Slana	Lenv°rtovce	SK	0	0	1830	150.41	1991	2021	48.30507	20.313416	1769	0	48.30833	20.30833
91	286	SK	7900	Rimava	Vlky˜àa	SK	0	0	1377	150.63	1991	2021	48.285404	20.301721	1371	0	48.29167	20.30833
92	288	SK	8510	Hornad	Margecany	SK	0	0	1133	329.35	1991	2021	48.909548	20.972338	1113	0	48.90833	20.975
93	289	SK	8870	Torysa	Ko˜°ickv© Ol˜°any	SK	0	0	1298	185.7	1991	2021	48.733426	21.336383	1291	0	48.725	21.34167
94	290	SK	9230	Laborec	Humennv©	SK	0	0	1272	143.6	1991	2021	48.928054	21.912382	1273	0	48.925	21.90833
95	291	SK	9320	Uzh	Lekv°rovce	SK	0	0	1989	98.92	1991	2021	48.605475	22.156619	2008	0	48.60833	22.15833
96	292	SK	9410	Latorica	Veƒækv© Kapu˜°any	SK	0	0	2915	93.7	1991	2021	48.500766	22.051758	3814	0	48.49167	22.05833
97	293	SK	9500	Topla	Hanu˜°ovce nad Toplou	SK	0	0	1050	160.4	1991	2021	49.032598	21.519206	1080	0	49.025	21.525
98	294	SK	9670	Bodrog	Streda nad Bodrogom	SK	0	0	11474	91.48	1991	2021	48.395088	21.748243	12092	0	48.39167	21.74167
99	327	RS	42527	Mlava	Veliko Selo	RS	0	0	1124	92.55	2008	2021	44.49455	21.299877	1296	0	44.49167	21.30833
100	457	DE	16606009	Amper	Ampermoching	DE	0	0	2189	464.07	1990	2021	48.297	11.4916	2238	0	48.29167	11.49167
101	458	DE	12407000	Wertach	Augsburg Oberhausen	DE	0	0	1257	464.09	1999	2021	48.378353	10.881891	1256	0	48.375	10.875
102	460	DE	13407902	Altmuhl	Beilngries oberh. der Sulz	DE	0	0	2251	362.66	1990	2021	49.0285	11.4783	2267	0	49.025	11.45833
103	461	DE	18606000	Salzach	Burghausen	DE	0	0	6649	351.62	1990	2021	48.1585	12.8341	6659	0	48.15833	12.84167
104	462	DE	15202300	Regen	Chamerau	DE	0	0	1357	371.28	1990	2021	49.181157	12.746633	1366	0	49.175	12.75833
105	463	DE	10035801	Danube	Dillingen	DE	0	0	11350	415	1990	2021	48.5684	10.5005	11740	0	48.575	10.50833
106	464	DE	10039802	Danube	Donauwv?rth	DE	0	0	15092	394.78	1990	2021	48.7107	10.8014	15092	0	48.70833	10.80833
107	465	DE	13407200	Altmuhl	Eichstv§tt	DE	0	0	1397	382.19	1990	2021	48.883072	11.200333	1404	0	48.875	11.20833
108	466	DE	16605006	Amper	Fvºrstenfeldbruck	DE	0	0	1230	514.23	1990	2021	48.177101	11.261473	1272	0	48.175	11.25833
109	467	DE	11809009	Wornitz	Harburg	DE	0	0	1569	400.65	1990	2021	48.783017	10.692216	1573	0	48.79167	10.69167
110	469	DE	10046105	Danube	Ingolstadt Luitpoldstravüe	DE	0	0	20001	360.35	1990	2021	48.7574	11.426	20026	0	48.74167	11.39167
111	470	DE	16607001	Amper	Inkofen	DE	0	0	3076	415.58	1990	2021	48.4607	11.8652	3207	0	48.45833	11.85833
112	471	DE	10053009	Danube	Kelheim	DE	0	0	23019	337.1	1990	2021	48.9166	11.8643	23009	0	48.90833	11.85833
113	473	DE	15205501	Regen	Kienhof	DE	0	0	2174	354.12	1990	2021	49.1903	12.4951	2178	0	49.19167	12.49167
114	474	DE	16008007	Isar	Landau	DE	0	0	8392	333.65	1990	2021	48.675294	12.692566	8618	0	48.675	12.69167
115	475	DE	18602009	Salzach	Laufen Siegerstetter Keller	DE	0	0	6112	387.05	1990	2021	47.9397	12.933	6126	0	47.94167	12.94167
116	477	DE	14006000	Naab	Mvºnchshofen	DE	0	0	4008	344.01	1990	2021	49.234	12.084	4014	0	49.24167	12.09167
117	479	DE	10026301	Danube	Neu Ulm, Bad Held	DE	0	0	7588	464.92	1990	2021	48.3892	9.9867	7587	0	48.375	9.975
118	483	DE	16008506	Isar	Plattling	DE	0	0	8435	316.31	1990	2021	48.771	12.8835	8948	0	48.775	12.89167
119	487	DE	18403002	Alz	Seebruck	DE	0	0	1399	517.34	1990	2021	47.934545	12.480662	1476	0	47.94167	12.475
120	488	DE	14002305	Naab	Unterkv?blitz	DE	0	0	2010	369.63	1990	2021	49.5356	12.154	2010	0	49.54167	12.15833
121	489	DE	18003004	Inn	Wasserburg	DE	0	0	11980	420.45	1990	2021	48.0593	12.2343	11970	0	48.075	12.225
122	574	CZ	367000	Morava	Olomouc	CZ	0	0	3324	204.63	1991	2021	49.576874	17.26133	3324	0	49.575	17.25833
123	575	CZ	390000	Becva	Dluhonice	CZ	0	0	1593	199.71	1991	2010	49.449116	17.408543	1591	0	49.44167	17.40833
124	576	CZ	403000	Morava	Kromeriz	CZ	0	0	7030	183.17	1991	2021	49.301911	17.39939	6997	0	49.30833	17.39167
125	577	CZ	421500	Morava	Straznice	CZ	0	0	9145	163.28	1991	2021	48.933061	17.298601	9139	0	48.925	17.29167
126	578	CZ	437000	Thaya	Travni Dvur	CZ	0	0	3531	172.64	1991	2021	48.790547	16.437896	3633	0	48.79167	16.44167
127	579	CZ	462000	Svratka	Zidlochovice	CZ	0	0	3940	177.89	1991	2021	49.035525	16.616741	3958	0	49.04167	16.60833
128	580	CZ	478000	Jihlava	Ivancice	CZ	0	0	2682	194.01	1991	2021	49.083013	16.411488	2678	0	49.075	16.40833
129	581	CZ	480500	Thaya	Breclav-Ladna	CZ	0	0	12280	157.38	1991	2021	48.79945	16.858672	12365	0	48.79167	16.85833
130	582	BG	16850	Ogosta	Miziya	BG	0	0	3112	26.32	1991	2021	43.6919	23.8258	3180	0	43.69167	23.825
131	583	BG	18700	Iskar	Novi Iskar	BG	0	0	3662	502.63	2015	2021	42.8292	23.3598	3525	0	42.825	23.35833
132	584	BG	18850	Iskar	Orehovica	BG	0	0	8366	31.2	1991	2021	43.5878	24.3589	8324	0	43.59167	24.35833
133	585	BG	21800	Vit	Tarnene	BG	0	0	2236	58.24	1991	2021	43.4056	24.5192	2364	0	43.39167	24.50833
134	586	BG	22700	Osam	Troian	BG	0	0	458	353.1	1991	2021	42.9172	24.7097	482	0	42.925	24.70833
135	587	BG	22800	Osam	Izgrev	BG	0	0	2154	40.32	1991	2021	43.4555	25.0528	2185	0	43.45833	25.05833
136	588	BG	23500	Rositsa	Sevlievo	BG	0	0	958	196.24	1991	2021	42.9958	25.1086	998	0	42.99167	25.10833
137	589	BG	23850	Yantra	Karantsi	BG	0	0	6860	30.9	1991	2021	43.3803	25.6672	6871	0	43.375	25.675
138	590	BG	23400	Dzhulunitsa	Dzhuliunitsa	BG	0	0	882	62.02	1991	2021	43.133	25.9059	902	0	43.125	25.90833
139	591	BG	31550	Cherni Lom	Shirocovo	BG	0	0	1383	92.81	2015	2021	43.5529	25.9458	1411	0	43.55833	25.94167
140	657	HU	444507	Kraszna	Agerdomajor	HU	0	0	1974	-	1991	2021	47.763	22.4201	1964	0	47.75833	22.425
141	660	HU	444361	Koros	Bekes	HU	0	0	9011	-	2015	2021	46.7856	21.1419	10759	0	46.8596	21.0936
142	663	HU	444382	Barcau	Berettyoujfalu	HU	0	0	3712	-	2015	2021	47.2077	21.5394	3746	0	47.20833	21.54167
143	664	HU	442027	Danube	Budapest	HU	0	0	184893	-	2015	2021	47.4949	19.0483	184824	0	47.49167	19.04167
144	665	HU	444244	Somea	Csenger	HU	0	0	15283	-	1994	2021	47.841	22.6924	15326	0	47.84167	22.69167
145	667	HU	442540	Danube	Dombori-puszta	HU	0	0	189538	-	2015	2021	46.4227	18.8957	188655	0	46.425	18.89167
146	670	HU	444282	Bodrog	Felsoberecki	HU	0	0	12886	-	2015	2021	48.3566	21.692	12853	0	48.35833	21.69167
147	671	HU	444371	Harmas-Koros	Gyoma	HU	0	0	19715	-	2015	2021	46.9449	20.8443	14980	0	46.94167	20.84167
148	674	HU	444543	Zagyva	Hatvan	HU	0	0	1222	-	2015	2021	47.662	19.6826	1221	0	47.65833	19.69167
149	675	HU	444322	Hornad	Hidasnemeti	HU	0	0	4515	-	2015	2021	48.4975	21.2285	4497	0	48.49167	21.225
150	676	HU	442626	Dobroda	Ipolytarnoc	HU	0	0	1123	-	2015	2021	48.2362	19.606	1206	0	48.24167	19.60833
151	677	HU	444548	Zagyva	Jasztelek	HU	0	0	4207	-	1991	2021	47.4838	19.9938	3974	0	47.49167	19.99167
152	678	HU	444537	Tisza	Kiskore also	HU	0	0	65670	-	2015	2021	47.4927	20.5165	65452	0	47.50833	20.54167
153	682	HU	444333	Cri»ôul Repede	Korosszakal	HU	0	0	2489	-	2015	2021	47.0116	21.6081	2836	0	47.00833	21.60833
154	684	HU	444372	Harmas-Koros	Kunszentmarton	HU	0	0	27354	-	2015	2021	46.8481	20.2725	28339	0	46.84167	20.275
155	686	HU	444396	Mures	Mako	HU	0	0	30149	-	1991	2021	46.2026	20.4556	29497	0	46.20833	20.45833
156	690	HU	442525	Ipel	Nogradszakal	HU	0	0	1850	-	2015	2021	48.191	19.5296	1843	0	48.19167	19.525
157	693	HU	444563	Barcau	Pocsaj	HU	0	0	3502	-	2015	2021	47.2784	21.7975	3451	0	47.275	21.79167
158	696	HU	442512	Raba	Sarvar	HU	0	0	5566	0	2015	2021	47.2467	16.9538	5548	0	47.24167	16.95833
159	697	HU	442634	Sio	Siojut	HU	0	0	5884	0	2017	2021	46.8826	18.1404	5781	0	46.875	18.14167
160	699	HU	442131	Raba	Szentgotthard	HU	0	0	3084	0	1991	2021	46.9573	16.2759	3075	0	46.95833	16.275
161	700	HU	444229	Tisza	Szolnok	HU	0	0	73113	0	1991	2021	47.1695	20.1888	72994	0	47.175	20.19167
162	701	HU	444226	Tisza	Tiszabecs	HU	0	0	9707	0	2015	2021	48.1034	22.8288	9219	0	48.10833	22.825
163	703	HU	444530	Tisza	Tiszapalkonya	HU	0	0	62730	0	1991	2021	47.8934	21.0582	62479	0	47.89167	21.05833
164	706	HU	444227	Tisza	Vasarosnameny	HU	0	0	29057	0	2015	2021	48.1268	22.3394	28538	0	48.125	22.34167
165	707	HU	444510	Tisza	Zahony	HU	0	0	32782	0	2015	2021	48.4131	22.1728	32482	0	48.40833	22.175
166	713	HU	444666	Barcau	Agota	HU	0	0	3134	0	2015	2021	47.3779	21.0221	2528	0	47.375	21.025
167	715	HU	442601	Mosoni-Duna	Bacsa	HU	0	0	17732	0	2015	2020	47.7251	17.6763	17859	0	47.725	17.675
168	775	RO	44119	Viseu	Bistra	RO	0	0	1547	1020	1991	2021	47.863	24.1931	1565	0	47.85833	24.19167
169	777	RO	44210	Somesul Mare	Beclean	RO	0	0	4347	711	2000	2021	47.177167	24.151194	4347	0	47.175	24.15833
170	778	RO	44459	Crisul Negru	Zerind	RO	0	0	3702	351	1991	2021	46.627167	21.515611	4060	0	46.625	21.525
171	779	RO	44409	Crisul Alb	Chisineu Cris	RO	0	0	3586	351	2000	2021	46.519528	21.509667	3586	0	46.525	21.50833
172	780	RO	44580	Barcau	Salard	RO	0	0	1691	254	2000	2021	47.231528	22.028167	1691	0	47.225	22.025
173	781	RO	44610	Mures	Ocna Mures	RO	0	0	9935	703	1991	2021	46.395333	23.852694	9935	0	46.39167	23.85833
174	782	RO	44612	Mures	Alba Iulia	RO	0	0	18055	625	1991	2021	46.036056	23.581361	18027	0	46.04167	23.575
175	784	RO	44681	Aries	Turda	RO	0	0	2367	897	1991	2021	46.566278	23.784444	2367	0	46.55833	23.775
176	785	RO	44720	Tarnava Mare	Mihalt	RO	0	0	6254	532	2000	2021	46.171611	23.730167	6254	0	46.175	23.74167
177	786	RO	42119	Timis	Sag	RO	0	0	4493	477	1991	2021	45.6462	21.1781	4408	0	45.64167	21.175
178	787	RO	42231	Jiu	Podari	RO	0	0	9334	446	1991	2021	44.260139	23.78675	9294	0	44.25833	23.79167
179	788	RO	42450	Oltet	Bals	RO	0	0	2110	414	2000	2021	44.348333	24.098889	2110	0	44.34167	24.10833
180	789	RO	42471	Vedea	Alexandria	RO	0	0	3295	195	2000	2021	43.986778	25.318806	3295	0	43.99167	25.325
181	790	RO	42557	Neajlov	Calugareni	RO	0	0	1864	130	2000	2021	44.171167	25.996917	1864	0	44.15833	25.99167
182	791	RO	42630	Prahova	Adancata	RO	0	0	3710	549	2000	2021	44.755833	26.460583	3710	0	44.75833	26.45833
183	792	RO	42718	Suceava	Itcani	RO	0	0	2341	629	2000	2021	47.672778	26.234639	2341	0	47.675	26.225
184	793	RO	42839	Trotus	Vranceni	RO	0	0	4087	734	2000	2021	46.209667	26.89525	4087	0	46.20833	26.89167
185	794	RO	42873	Putna	Botarlau	RO	0	0	2543	554	2000	2021	45.632194	27.386417	2543	0	45.625	27.39167
186	795	RO	42911	Barlad	Tecuci	RO	0	0	177	220	2000	2021	45.8446	27.4403	177	0	45.84167	27.44167
187	796	RO	42708	Siret	Dragesti	RO	0	0	11899	525	1991	2021	46.723639	26.945444	11849	0	46.725	26.94167
188	797	RO	42945	Prut	Radauti	RO	0	0	9074	529	1991	2021	48.238806	26.824	9309	0	48.24167	26.825
189	798	RO	42001	Danube	Bazias	RO	0	0	570896	-999	1991	2021	44.8087	21.3901	562383	0	44.80833	21.39167
190	799	RO	42309	Olt	Hoghiz	RO	0	0	7225	797	2000	2021	45.991889	25.301083	7158	0	45.99167	25.30833
191	800	RO	44405	Crisul Alb	Gurahont	RO	0	0	1608	515	2000	2021	46.277722	22.34225	1608	0	46.275	22.35833
192	801	RO	42153	Barzava	Gataia	RO	0	0	719	359	2000	2021	45.439	21.4342	719	0	45.44167	21.44167
193	802	RO	42109	Timis	Lugoj	RO	0	0	2707	666	2000	2021	45.6837	21.9073	2707	0	45.675	21.90833
194	803	RO	42741	Moldova	Tupilati	RO	0	0	3940	703	2000	2021	47.084639	26.648111	3940	0	47.09167	26.65833
195	804	RO	42780	Bistrita	Frumosu	RO	0	0	2866	1172	2000	2021	47.142472	25.861917	2866	0	47.14167	25.85833
196	805	RO	42057	Ialomita	Ceatal Izmail	RO	0	0	807000	-999	1990	2009	45.180222	28.8	785915	0	45.24167	28.75833
197	807	RO	42025	Danube	Zimnicea	RO	0	0	658400	-999	1990	2011	43.630194	25.357306	642273	0	43.625	25.35833
198	808	RO	42714	Siret	Lungoci	RO	0	0	36030	-999	1990	2011	45.556611	27.509972	36425	0	45.55833	27.50833
199	809	RO	42612	Ialomita	Cosereni	RO	0	0	6265	-999	1990	2011	44.696972	26.571694	6251	0	44.69167	26.575
200	811	RO	42318	Olt	Cornet	RO	0	0	13733	-999	1990	2011	45.385111	24.297222	13868	0	45.39167	24.30833
201	817	HU	442132	Raba	Kormend	HU	0	0	4734	184.15	2015	2021	47.0064	16.6106	4723	0	47.00833	16.60833
202	818	HU	444567	Crisul Repede	Korosladany hid	HU	0	0	8985	80.98	2015	2021	46.953	21.0822	3777	0	46.95833	21.075
203	822	RS	44201	Stari Begej	Hetin	RS	0	0	2271	76.69	1991	2021	45.652777	20.798278	1825	0	45.65833	20.80833
204	823	RS	42914	Crni Timok	Gamzigrad	RS	0	0	1213	152.2	1991	2020	43.924319	22.173151	1172	0	43.925	22.175
205	831	RS	45837	Lim	Prijepolje	RS	0	0	3160	443.37	1991	2021	43.381888	19.637294	3186	0	43.39167	19.64167
206	832	RS	47260	Ibar	Raska	RS	0	0	6270	392.54	1991	2021	43.296433	20.613816	6145	0	43.29167	20.60833
