FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon
0	1	DE	10062000	Danube	Schwabelweis	DE	0	0	35399	324.49	1991	2021	49.023585	12.13873	35440	0	49.025	12.14167
1	2	DE	10088003	Danube	Hofkirchen	DE	0	0	47496	299.6	1990	2021	48.676627	13.115212	47586	0	48.675	13.10833
2	95	SI	1060	Mur	Gornja Radgona	SI	0	0	10197	202.34	1991	2021	46.6811	15.9956	10338	0	46.675	15.99167
3	96	SI	2110	Drava	Ptuj	SI	0	0	13664	214.62	2008	2021	46.4169	15.8675	13677	0	46.40833	15.875
4	98	SI	3420	Sava	Radovljica	SI	0	0	908	408.09	1991	2021	46.34	14.1654	891	0	46.34167	14.15833
5	99	SI	3530	Sava	Medno	SI	0	0	2201	300.27	1991	2021	46.1225	14.4405	2182	0	46.125	14.44167
6	101	SI	3725	Sava	Hrastnik	SI	0	0	5177	193.85	1993	2021	46.122	15.0906	4531	0	46.125	15.075
7	102	SI	3900	Sava	Jesenice na Dolenjskem	SI	0	0	10882	129.43	1991	2021	45.8605	15.6925	9910	0	45.85833	15.69167
8	103	SI	5078	Ljubljanica	Moste	SI	0	0	1762	281.29	1991	2021	46.0554	14.5444	1118	0	46.05833	14.54167
9	107	SI	7160	Krka	Podboƒçje	SI	0	0	2238	146.32	1991	2021	45.8644	15.4555	1839	0	45.875	15.45833
10	155	AT	4001092	Ager	Fischerau / Ager	AT	0	0	1256	348	1990	2021	48.085815	13.838047	1235	0	48.09167	13.84167
11	156	AT	10001019	Danube	Achleiten / Donau	AT	0	0	76653	288.04	1991	2021	48.582691	13.503336	76652	0	48.59167	13.50833
12	158	AT	10001016	Danube	Kienstock	AT	0	0	95970	194	1991	2021	48.382792	15.46122	95950	0	48.375	15.45833
13	159	AT	10001035	Danube	Korneuburg	AT	0	0	101537	159.87	1996	2021	48.329485	16.332121	101531	0	48.325	16.325
14	160	AT	10001023	Danube	Linz	AT	0	0	79490	247.74	1990	2000	48.30692	14.284912	79484	0	48.30833	14.29167
15	161	AT	10001036	Danube	Wildungsmauer	AT	0	0	103993	139.48	1996	2021	48.114803	16.804302	104029	0	48.125	16.80833
16	163	AT	2001077	Drava	Amlach	AT	0	0	4790	522.79	2008	2021	46.77402	13.52317	4795	0	46.775	13.525
17	164	AT	2001073	Drave	Lavamvºnd Ort	AT	0	0	11052	338	2008	2021	46.64062	14.942619	11063	0	46.65833	14.925
18	166	AT	2001001	Drave	Oberdrauburg-OWF	AT	0	0	2112	616.08	1990	2021	46.747615	12.97297	2113	0	46.74167	12.975
19	168	AT	6001033	Enns	Admont (Enns)	AT	0	0	2638	616.8	1991	2021	47.581186	14.461733	2651	0	47.575	14.45833
20	169	AT	4001134	Enns	Steyr (Ortskai)	AT	0	0	5915	283.97	1991	2021	48.043318	14.424931	5943	0	48.04167	14.425
21	170	AT	6001025	Enns	Trautenfels	AT	0	0	1490	639.96	2010	2021	47.514579	14.08546	1520	0	47.50833	14.075
22	173	AT	2001041	Gail	Federaun	AT	0	0	1305	498.54	1990	2021	46.569332	13.814816	1337	0	46.575	13.80833
23	175	AT	2001062	Gurk	Gumisch	AT	0	0	2555	394.34	1990	2021	46.606288	14.478061	2326	0	46.60833	14.475
24	176	AT	2001071	Gurk	Launsdorf	AT	0	0	1243	510	1990	2021	46.760439	14.476932	1004	0	46.75833	14.475
25	179	AT	7001049	Inn	Innsbruck (oberh. Sill)	AT	0	0	5772	568.46	1991	2021	47.275613	11.396506	5795	0	47.275	11.39167
