FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea	lat_1min	lon_1min	area_1min	differentfromEFAS
113	473	DE	15205501	Regen	Kienhof	DE	0	0	2174	354.12	1990	2021	49.1903	12.4951	2178	0	49.19167	12.49167	49.1904	12.4954	2172	49.1917	12.4917	2178	0
114	474	DE	16008007	Isar	Landau	DE	0	0	8392	333.65	1990	2021	48.675294	12.692566	8618	0	48.675	12.69167	48.6754	12.6929	8623	48.675	12.6917	8618	0
115	475	DE	18602009	Salzach	Laufen_Siegerstetter_Keller	DE	0	0	6112	387.05	1990	2021	47.9397	12.933	6126	0	47.94167	12.94167	47.9396	12.9329	6104	47.9417	12.925	6128	1
116	477	DE	14006000	Naab	Muenchshofen	DE	0	0	4008	344.01	1990	2021	49.234	12.084	4014	0	49.24167	12.09167	49.2338	12.0829	3993	49.2417	12.0917	4014	0
117	479	DE	10026301	Danube	Neu_Ulm_Bad_Held	DE	0	0	7588	464.92	1990	2021	48.3892	9.9867	7587	0	48.375	9.975	48.3896	9.9871	7605	48.375	9.975	7587	0
118	483	DE	16008506	Isar	Plattling	DE	0	0	8435	316.31	1990	2021	48.771	12.8835	8948	0	48.775	12.89167	48.7696	12.8854	8820	48.7417	12.8583	8793	1
119	487	DE	18403002	Alz	Seebruck	DE	0	0	1399	517.34	1990	2021	47.934545	12.480662	1476	0	47.94167	12.475	47.9346	12.4796	1449	47.9417	12.475	1476	0
120	488	DE	14002305	Naab	Unterkoeblitz	DE	0	0	2010	369.63	1990	2021	49.5356	12.154	2010	0	49.54167	12.15833	49.5363	12.1537	2003	49.5417	12.1583	2010	0
121	489	DE	18003004	Inn	Wasserburg	DE	0	0	11980	420.45	1990	2021	48.0593	12.2343	11970	0	48.075	12.225	48.0596	12.2346	11920	48.075	12.225	11970	0
122	574	CZ	367000	Moraoe	Olomouc	CZ	0	0	3324	204.63	1991	2021	49.576874	17.26133	3324	0	49.575	17.25833	49.5779	17.2613	3330	49.575	17.2583	3324	0
123	575	CZ	390000	Becoe	Dluhonice	CZ	0	0	1593	199.71	1991	2010	49.449116	17.408543	1591	0	49.44167	17.40833	49.4488	17.4087	1587	49.4417	17.4083	1591	0
124	576	CZ	403000	Moraoe	Kromeriz	CZ	0	0	7030	183.17	1991	2021	49.301911	17.39939	6997	0	49.30833	17.39167	49.3021	17.3996	7002	49.3083	17.3917	6997	0
125	577	CZ	421500	Moraoe	Straznice	CZ	0	0	9145	163.28	1991	2021	48.933061	17.298601	9139	0	48.925	17.29167	48.9329	17.2979	9091	48.9417	17.325	9048	1
126	578	CZ	437000	Thaya	Traoei_Doer	CZ	0	0	3531	172.64	1991	2021	48.790547	16.437896	3633	0	48.79167	16.44167	48.7904	16.4379	3528	48.775	16.425	3594	1
