FID	GloFAS ID	Provider ID	Country	StationLat	StationLon	DrainingArea.km2.Provider	River	Basin	DrainingArea.km2.LDD	LisfloodX	LisfloodY	CAL START DATE	CAL END DATE	CAL SPLIT DATE	NumObs	KGE3arcmin_LR	bias3arcmin_LR	corr3arcmin_LR	var3arcmin_LR	newlat	newlon	newarea	lat_3min	lon_3min	area_3min	differentfromGLOFAS
0	429	6342600	DEU	49.018	12.144	35399	Danube	Danube	35216	12.125	49.025	 01/01/1982 00:00	 01/01/2014 00:00	 01/01/1998 00:00	11689	0.87	0.96	0.90	1.07	49.02208	12.14375	35344	49.02500	12.12500	    35216	0
1	436	6342910	DEU	48.947	12.015	26448	Danube	Danube	26781	11.975	48.975	 01/01/1982 00:00	 31/12/2009 00:00	 01/01/1996 00:00	10227	0.87	0.97	0.89	1.08	48.94625	12.01458	26395	48.92500	12.02500	    26335	1
2	439	6342920	DEU	48.880	12.747	37687	Danube	Danube	37623	12.775	48.875	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.87	0.95	0.91	1.08	48.87958	12.74625	37606	48.92500	12.67500	    37541	1
3	442	6142110	CZE	48.800	16.860	12284	Thaya	Danube	12744	16.875	48.775	 02/01/1988 00:00	 01/01/2010 00:00	 02/01/1999 00:00	8036	0.73	0.90	0.77	1.10	48.79792	16.85875	12281	48.82500	16.82500	    12498	1
4	444	6342500	DEU	48.754	11.422	20001	Danube	Danube	20419	11.425	48.775	 01/01/1982 00:00	 01/01/2008 00:00	 01/01/1995 00:00	9497	0.87	0.98	0.90	1.08	48.75458	11.42208	19982	48.72500	11.32500	    20194	1
5	445	6342800	DEU	48.676	13.116	47496	Danube	Danube	47564	13.125	48.675	 01/01/1982 00:00	 01/01/2014 00:00	 01/01/1998 00:00	11689	0.87	0.96	0.90	1.07	48.67625	13.11375	47488	48.67500	13.07500	    47462	1
6	449	6142150	SVK	48.603	16.939	24129	Morava	Danube	24094	16.925	48.625	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.80	0.89	0.84	1.04	48.60292	16.93792	23997	48.62500	16.92500	    24094	0
7	450	6342900	AUT	48.582	13.504	76653	Danube	Danube	76461	13.525	48.575	 01/01/1982 00:00	 01/01/2014 00:00	 01/01/1998 00:00	11689	0.89	0.99	0.93	1.09	48.58208	13.50208	76415	48.57500	13.52500	    76461	0
8	454	6343900	DEU	48.562	13.443	26084	Inn	Danube	25967	13.425	48.525	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.90	1.01	0.92	1.05	48.56042	13.44375	25950	48.52500	13.42500	    25967	0
9	456	6243850	AUT	48.436	13.442	25664	Inn	Danube	24361	13.425	48.425	 01/01/1982 00:00	 01/01/2010 00:00	 01/01/1996 00:00	10227	0.90	1.02	0.92	1.05	48.43625	13.43958	24200	48.42500	13.42500	    24361	0
10	460	6144200	SVK	48.396	21.750	11474	Bodrog	Danube	11925	21.775	48.375	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.81	1.03	0.82	0.93	48.39542	21.75042	11931	48.37500	21.77500	    11925	0
11	461	6242401	AUT	48.383	15.462	95970	Danube	Danube	95763	15.425	48.375	 01/01/1982 00:00	 01/01/2010 00:00	 02/01/1996 00:00	10228	0.91	0.99	0.92	1.05	48.38375	15.46125	95701	48.37500	15.47500	    95783	1
12	464	6242501	AUT	48.334	16.326	101537	Danube	Danube	101384	16.325	48.325	 03/01/1996 00:00	 01/01/2010 00:00	 02/01/2002 00:00	5113	0.93	1.01	0.93	1.02	48.33375	16.32625	101272	48.32500	16.27500	   101219	1
13	465	6242100	AUT	48.310	14.300	79490	Danube	Danube	79360	14.325	48.325	 01/01/1982 00:00	 01/01/2000 00:00	 03/07/1990 00:00	6210	0.85	1.03	0.92	1.12	48.31625	14.29542	79257	48.32500	14.27500	    79278	1
14	469	6142620	SVK	48.162	17.883	11218	Vah	Danube	10905	17.875	48.175	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.74	0.99	0.75	1.04	48.15958	17.88292	10435	48.17500	17.87500	    10905	0
15	471	6142200	SVK	48.140	17.110	131331	Danube	Danube	130717	17.075	48.125	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.89	0.97	0.92	1.07	48.13792	17.10958	131093	48.12500	17.12500	   130758	1
