ID,lat,lon,area
429,49.018,12.144,35399
436,48.947,12.015,26448
439,48.88,12.747,37687
442,48.8,16.86,12284
444,48.754,11.422,20001
445,48.676,13.116,47496
449,48.6027,16.9386,24129
450,48.582,13.504,76653
454,48.562,13.443,26084
456,48.4361,13.4417,25664
460,48.3961,21.7502,11474
461,48.3833,15.4622,95970
464,48.3337,16.3257,101537
465,48.31,14.3,79490
469,48.1617,17.8834,11218
471,48.1402,17.1096,131331
475,48.059,12.233,11983
484,47.8833,21.0667,62723
488,47.7872,22.8769,15385
489,47.78,18.95,183533
491,47.73,18.33,171720
517,47.1833,20.2,75113
529,46.7258,26.9461,11899
550,46.25,20.1667,138408
551,46.2167,20.4833,30149
553,46.1608,21.3217,27280
559,46.0375,23.5817,18055
560,46.0,18.67,209064
562,45.9329,20.0825,140130
564,45.8932,15.6097,10186
566,45.85,18.87,210245
578,45.5559,27.5122,36030
579,45.53,19.08,251593
585,45.385,24.2994,13733
591,45.2167,28.7167,807000
599,44.9813,19.6183,87966
608,44.8147,21.3794,570896
612,44.7,22.42,576232
615,44.6833,27.945,709100
617,44.58,21.12,34345
626,44.16,22.82,584900
627,44.13,27.26,689700
632,43.86,25.95,669900
633,43.84,23.24,588860
639,43.6272,25.3544,658400
