FID	GloFAS ID	Provider ID	Country	StationLat	StationLon	DrainingArea.km2.Provider	River	Basin	DrainingArea.km2.LDD	LisfloodX	LisfloodY	CAL START DATE	CAL END DATE	CAL SPLIT DATE	NumObs	KGE3arcmin_LR	bias3arcmin_LR	corr3arcmin_LR	var3arcmin_LR	newlat	newlon	newarea
0	429	6342600	DEU	49.018	12.144	35399	Danube	Danube	35216.2	12.125	49.025	 01/01/1982 00:00	 01/01/2014 00:00	 01/01/1998 00:00	11689	0.873784702	0.960080625	0.904369218	1.072052054	49.022083	12.143750	35344
1	436	6342910	DEU	48.947	12.015	26448	Danube	Danube	26781.3	11.975	48.975	 01/01/1982 00:00	 31/12/2009 00:00	 01/01/1996 00:00	10227	0.865666277	0.969481673	0.894354344	1.077156829	48.946250	12.014583	26395
2	439	6342920	DEU	48.88	12.747	37687	Danube	Danube	37622.5	12.775	48.875	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.867188917	0.949860672	0.906610119	1.080019759	48.879583	12.746250	37606
3	442	6142110	CZE	48.8	16.86	12284	Thaya	Danube	12743.7	16.875	48.775	 02/01/1988 00:00	 01/01/2010 00:00	 02/01/1999 00:00	8036	0.727938031	0.900627759	0.765301484	1.095181296	48.797917	16.858750	12281
4	444	6342500	DEU	48.754	11.422	20001	Danube	Danube	20419.3	11.425	48.775	 01/01/1982 00:00	 01/01/2008 00:00	 01/01/1995 00:00	9497	0.865205339	0.979302562	0.895443603	1.082517735	48.754583	11.422083	19982
5	445	6342800	DEU	48.676	13.116	47496	Danube	Danube	47563.9	13.125	48.675	 01/01/1982 00:00	 01/01/2014 00:00	 01/01/1998 00:00	11689	0.868590614	0.963268967	0.897571384	1.073672495	48.676250	13.113750	47488
6	449	6142150	SVK	48.6027	16.9386	24129	Morava	Danube	24093.9	16.925	48.625	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.796629098	0.88917074	0.835131732	1.04353221	48.602917	16.937917	23997
7	450	6342900	AUT	48.582	13.504	76653	Danube	Danube	76461.2	13.525	48.575	 01/01/1982 00:00	 01/01/2014 00:00	 01/01/1998 00:00	11689	0.886076033	0.988939006	0.928063191	1.087643712	48.582083	13.502083	76415
8	454	6343900	DEU	48.562	13.443	26084	Inn	Danube	25966.7	13.425	48.525	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.902981987	1.010920918	0.917632224	1.050087701	48.560417	13.443750	25950
9	456	6243850	AUT	48.4361	13.4417	25664	Inn	Danube	24361.4	13.425	48.425	 01/01/1982 00:00	 01/01/2010 00:00	 01/01/1996 00:00	10227	0.904108802	1.01525321	0.919859355	1.050397803	48.436250	13.439583	24200
10	460	6144200	SVK	48.3961	21.7502	11474	Bodrog	Danube	11924.7	21.775	48.375	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.809838785	1.030157697	0.823946106	0.934755634	48.395417	21.750417	11931
11	461	6242401	AUT	48.3833	15.4622	95970	Danube	Danube	95762.7	15.425	48.375	 01/01/1982 00:00	 01/01/2010 00:00	 02/01/1996 00:00	10228	0.906366293	0.988117993	0.924985919	1.054762912	48.383750	15.461250	95701
12	464	6242501	AUT	48.3337	16.3257	101537	Danube	Danube	101383.7	16.325	48.325	 03/01/1996 00:00	 01/01/2010 00:00	 02/01/2002 00:00	5113	0.927794354	1.014681104	0.931213752	1.01632705	48.333750	16.326250	101272
13	465	6242100	AUT	48.31	14.3	79490	Danube	Danube	79360.1	14.325	48.325	 01/01/1982 00:00	 01/01/2000 00:00	 03/07/1990 00:00	6210	0.849816442	1.033410785	0.919048411	1.122006806	48.316250	14.295417	79257
14	469	6142620	SVK	48.1617	17.8834	11218	Vah	Danube	10904.8	17.875	48.175	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.744626876	0.994172228	0.74763435	1.038639985	48.159583	17.882917	10435
15	471	6142200	SVK	48.1402	17.1096	131331	Danube	Danube	130716.7	17.075	48.125	 01/01/1982 00:00	 01/11/2008 00:00	 03/06/1995 00:00	9802	0.890733119	0.971355559	0.921339954	1.070223531	48.137917	17.109583	131093
16	475	6343100	DEU	48.059	12.233	11983	Inn	Danube	11894.5	12.225	48.075	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.857052963	1.063144036	0.885659917	1.058077807	48.059583	12.232917	11920
17	484	6444310	HUN	47.8833	21.0667	62723	Tisza	Danube	62689.9	21.075	47.875	 02/01/1988 00:00	 01/01/1996 00:00	 02/01/1988 00:00	2557	0.872495117	0.995749831	0.872588992	0.997577917	47.881250	21.065417	62310
18	488	6744500	ROU	47.7872	22.8769	15385	Szamos	Danube	15286	22.875	47.775	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.776682282	1.107165228	0.816986226	0.930054481	47.787083	22.876250	15101
19	489	6442500	HUN	47.78	18.95	183533	Danube	Danube	183125.5	18.925	47.775	 01/01/1982 00:00	 01/01/2000 00:00	 03/07/1991 00:00	6209	0.856848854	1.045788561	0.896633024	1.087811882	47.776250	18.955417	182832
20	491	6442450	HUN	47.73	18.33	171720	Danube	Danube	171392.1	18.325	47.725	 01/01/1982 00:00	 01/01/1996 00:00	 02/01/1988 00:00	5114	0.865103178	1.049242418	0.903372023	1.080220764	47.736250	18.329583	171048
21	517	6444200	HUN	47.1833	20.2	75113	Tisza	Danube	74073.2	20.175	47.125	 02/01/1988 00:00	 01/01/1996 00:00	 02/01/1988 00:00	2557	0.845859358	1.039476689	0.860300525	1.051816844	47.172083	20.202083	72672
22	529	6742701	ROU	46.7258	26.9461	11899	Siret	Danube	11796.1	26.925	46.725	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.764885883	1.103339994	0.80070873	0.930125231	46.725417	26.946250	11986
